BlockNumber,ClassName,TriggerStartTime
1,Velocity30,-0.497858039195223
1,Velocity30,-0.497655239534612
1,Velocity30,-0.498301292756014
2,Velocity30,-0.498448499384015
2,Velocity30,-0.498314558586066
2,Velocity30,-0.49816006297792
3,Velocity30,-0.497900432563058
3,Velocity30,-0.497768861551259
3,Velocity30,-0.49762792883985
4,Velocity30,-0.497811652454762
4,Velocity30,-0.497704173417807
4,Velocity30,-0.497573630830555
6,Velocity30,-0.462225655301485
6,Velocity30,-0.46205590111702
6,Velocity30,-0.461898946889219
7,Velocity30,-0.461817778369503
7,Velocity30,-0.461656411261353
7,Velocity30,-0.462476329702448
8,Velocity30,-0.462403675011029
8,Velocity30,-0.462285025627853
8,Velocity30,-0.462128311493668
9,Velocity30,-0.461612111865851
9,Velocity30,-0.461519031602104
9,Velocity30,-0.462414470379929
10,Velocity30,-0.462345877476416
11,Velocity30,-0.498228900370436
11,Velocity30,-0.497877991271256
1,Velocity3_0,-1.30154596288797
1,Velocity3_0,-1.44641800000774
1,Velocity3_0,-1.30239170641481
1,Velocity3_0,-1.44622810362333
1,Velocity3_0,-1.30220090472951
2,Velocity3_0,-1.30184468418262
2,Velocity3_0,-1.44571578383972
2,Velocity3_0,-1.30169138371427
2,Velocity3_0,-1.44558581079019
2,Velocity3_0,-1.30156792630726
3,Velocity3_0,-1.30159061446402
3,Velocity3_0,-1.30244914059133
3,Velocity3_0,-1.3022357396764
4,Velocity3_0,-1.30233055142786
4,Velocity3_0,-1.30217481540573
4,Velocity3_0,-1.4460224146382
4,Velocity3_0,-1.30197555903146
6,Velocity3_0,-1.30369289118866
6,Velocity3_0,-1.18968269294866
6,Velocity3_0,-1.30356900171224
6,Velocity3_0,-1.18954468723897
6,Velocity3_0,-1.30445418133167
6,Velocity3_0,-1.19044056785885
7,Velocity3_0,-1.18997846838234
7,Velocity3_0,-1.30383179237096
7,Velocity3_0,-1.18981485272208
7,Velocity3_0,-1.30367840844795
7,Velocity3_0,-1.18965926770908
8,Velocity3_0,-1.30387230952836
8,Velocity3_0,-1.18984519721412
8,Velocity3_0,-1.3037576473997
8,Velocity3_0,-1.18973419935384
8,Velocity3_0,-1.30364986594099
8,Velocity3_0,-1.18963800964081
9,Velocity3_0,-1.18995372151424
9,Velocity3_0,-1.30384968351873
9,Velocity3_0,-1.18982982214223
9,Velocity3_0,-1.30372106785451
9,Velocity3_0,-1.18970701914588
10,Velocity3_0,-1.18950779093564
11,Velocity3_0,-1.30203876670551
1,Velocity0_3,-13.5618841184355
1,Velocity0_3,-12.4177668379497
1,Velocity0_3,-13.5596176450942
1,Velocity0_3,-13.5594983753846
1,Velocity0_3,-12.4193743799517
1,Velocity0_3,-13.560075334097
1,Velocity0_3,-12.4197870231732
2,Velocity0_3,-13.5620933078733
2,Velocity0_3,-12.4179362408764
2,Velocity0_3,-13.559647201009
2,Velocity0_3,-12.4195330733665
2,Velocity0_3,-13.5603133292955
2,Velocity0_3,-12.4199924888543
3,Velocity0_3,-13.5596043238033
3,Velocity0_3,-13.5614801084947
3,Velocity0_3,-12.4183710737946
3,Velocity0_3,-13.5600158352017
3,Velocity0_3,-12.4198733896789
4,Velocity0_3,-13.5596406900234
4,Velocity0_3,-13.5595186736314
4,Velocity0_3,-12.4194037079209
4,Velocity0_3,-13.5602286939016
4,Velocity0_3,-12.4179072013817
4,Velocity0_3,-13.5596327490246
4,Velocity0_3,-12.4195147868046
5,Velocity0_3,-11.2942361177403
6,Velocity0_3,-11.4058728191996
6,Velocity0_3,-11.2917581037452
6,Velocity0_3,-11.4076221520398
6,Velocity0_3,-11.4075206917821
6,Velocity0_3,-11.2934196932107
6,Velocity0_3,-11.4079922743153
6,Velocity0_3,-11.2937537641124
7,Velocity0_3,-11.4082279546062
7,Velocity0_3,-11.4080958940291
7,Velocity0_3,-11.2939488781855
7,Velocity0_3,-11.4058069458296
7,Velocity0_3,-11.4056910738337
7,Velocity0_3,-11.2915862441931
7,Velocity0_3,-11.4074644506505
7,Velocity0_3,-11.2942207854653
8,Velocity0_3,-11.4082386283233
8,Velocity0_3,-11.4080890977563
8,Velocity0_3,-11.2939426223324
8,Velocity0_3,-11.4058036746941
8,Velocity0_3,-11.2915958996583
8,Velocity0_3,-11.4074662332356
8,Velocity0_3,-11.294232517625
9,Velocity0_3,-11.2939400566033
9,Velocity0_3,-11.4057946610609
9,Velocity0_3,-11.405688605882
9,Velocity0_3,-11.2915836599379
9,Velocity0_3,-11.4074542708478
9,Velocity0_3,-11.2942101711465
11,Velocity0_3,-12.4193912635021
